,ID,CREATED_BY,CREATED_ON,UPDATED_BY,UPDATED_ON,DELETED,DISABLED,ADDEDFROMUI,UNIQUEKEY,ISCURRENT,NAME,OPTLOCKVER,VALID_FROM,VALID_TILL,INACTIVE,ISADMIN,LOCKED,PASSWORD,USERNAME,SUPERVISOR,FIRST_NAME,IS_MANAGER,LAST_NAME,MANAGER,ASSET_ID,phone numbers,Social Security number,DOB,email,address,city,state,zip
0,31,gladmin,12/10/2020 14:43,gladmin,12/10/2020 14:43,0,0,0,26d04379f776b97fb53dfe78ff146a95,0,HTHERRES,1,12/10/2020 0:00,12/31/9999 0:00,0,0,0,$shiro1$SHA-256$500000$U3pQ0HcxqLoxIbkTJauCRg==$grd6Ius19Rhg325BCU0cwO24F6lit0X5Rla0B5wb+vM=,HTHERRES,504,Helen,0,Therres,100058,4,5046218927,835-32-2618,10/17/1966,htherres@pth.com,6649 N Blue Gum St,New Orleans,LA,70116
1,32,gladmin,12/10/2020 14:43,gladmin,12/10/2020 14:43,0,0,0,75851ebf88dd7ce865d7ee7fb7dacb60,0,MPHILLION,1,12/10/2020 0:00,12/31/9999 0:00,0,0,0,$shiro1$SHA-256$500000$U3pQ0HcxqLoxIbkTJauCRg==$grd6Ius19Rhg325BCU0cwO24F6lit0X5Rla0B5wb+vM=,MPHILLION,1276,Michael,0,Phillion,100029,4,5046218928,911-70-9288,12/14/1993,mphillion@pth.com,4 B Blue Ridge Blvd,Brighton,MI,48116
2,33,gladmin,12/10/2020 14:43,gladmin,12/10/2020 14:43,0,0,0,f9dfe15f794e45809d16b9f1be261456,0,JNORI,1,12/10/2020 0:00,12/31/9999 0:00,0,0,0,$shiro1$SHA-256$500000$U3pQ0HcxqLoxIbkTJauCRg==$grd6Ius19Rhg325BCU0cwO24F6lit0X5Rla0B5wb+vM=,JNORI,2133,Judith,0,Nori,100028,4,5046218929,369-53-9164,2/11/1967,jnori@pth.com,8 W Cerritos Ave #54,Bridgeport,NJ,8014
3,34,gladmin,12/10/2020 14:43,gladmin,12/10/2020 14:43,0,0,0,6df9cd2ad41a761984736a084da09dd4,0,RTARNOWSKI,1,12/10/2020 0:00,12/31/9999 0:00,0,0,0,$shiro1$SHA-256$500000$U3pQ0HcxqLoxIbkTJauCRg==$grd6Ius19Rhg325BCU0cwO24F6lit0X5Rla0B5wb+vM=,RTARNOWSKI,2133,Rui,0,Tarnowski,100028,4,5046218930,715-56-9837,8/3/1966,rtarnowski@pth.com,639 Main St,Anchorage,AK,99501
4,35,gladmin,12/10/2020 14:43,gladmin,12/10/2020 14:43,0,0,0,8de7f05a79c737e5951dc2867cd833bf,0,BKUWABARA,1,12/10/2020 0:00,12/31/9999 0:00,0,0,0,$shiro1$SHA-256$500000$U3pQ0HcxqLoxIbkTJauCRg==$grd6Ius19Rhg325BCU0cwO24F6lit0X5Rla0B5wb+vM=,BKUWABARA,1276,Brent,0,Kuwabara,100029,4,5046218931,906-04-3061,5/28/1976,bkuwabara@pth.com,34 Center St,Hamilton,OH,45011
5,36,gladmin,12/10/2020 14:43,gladmin,12/10/2020 14:43,0,0,0,b32da4e82e2491f31c4e47bee3426aba,0,LSOBERING,1,12/10/2020 0:00,12/31/9999 0:00,0,0,0,$shiro1$SHA-256$500000$U3pQ0HcxqLoxIbkTJauCRg==$grd6Ius19Rhg325BCU0cwO24F6lit0X5Rla0B5wb+vM=,LSOBERING,2167,Larry,0,Sobering,100027,4,5046218932,781-11-5713,3/26/1988,lsobering@pth.com,3 Mcauley Dr,Ashland,OH,44805
6,37,gladmin,12/10/2020 14:43,gladmin,12/10/2020 14:43,0,0,0,c819bd35771d29e6968062cde7cacd1c,0,MAYER-21,1,12/10/2020 0:00,12/31/9999 0:00,0,0,0,$shiro1$SHA-256$500000$U3pQ0HcxqLoxIbkTJauCRg==$grd6Ius19Rhg325BCU0cwO24F6lit0X5Rla0B5wb+vM=,MAYER-21,2167,Melanie,0,Mayer,100027,4,5046218933,219-93-6856,9/11/1974,mmayer@pth.com,7 Eads St,Chicago,IL,60632
7,38,gladmin,12/10/2020 14:43,gladmin,12/10/2020 14:43,0,0,0,d3cbcb3a8f16caaabf6a6159cb12547b,0,RJARCHE,1,12/10/2020 0:00,12/31/9999 0:00,0,0,0,$shiro1$SHA-256$500000$U3pQ0HcxqLoxIbkTJauCRg==$grd6Ius19Rhg325BCU0cwO24F6lit0X5Rla0B5wb+vM=,RJARCHE,2133,Rick,0,Jarche,100028,4,5046218934,475-70-4125,9/18/1967,rjarche@pth.com,7 W Jackson Blvd,San Jose,CA,95111
8,39,gladmin,12/10/2020 14:43,gladmin,12/10/2020 14:43,0,0,0,7c01ca1f68fdfc4d7fc3d83b613a2b4a,0,RCF_MGRASS,1,12/10/2020 0:00,12/31/9999 0:00,0,0,0,$shiro1$SHA-256$500000$U3pQ0HcxqLoxIbkTJauCRg==$grd6Ius19Rhg325BCU0cwO24F6lit0X5Rla0B5wb+vM=,RCF_MGRASS,1683,Manager,0,Assistant,100101,4,5046218935,929-99-3060,4/2/1993,massistant@pth.com,5 Boston Ave #88,Sioux Falls,SD,57105
9,40,gladmin,12/10/2020 14:43,gladmin,12/10/2020 14:43,0,0,0,fe4c68428747c3e879330cdd58dfd17f,0,EBEAL,1,12/10/2020 0:00,12/31/9999 0:00,0,0,0,$shiro1$SHA-256$500000$U3pQ0HcxqLoxIbkTJauCRg==$grd6Ius19Rhg325BCU0cwO24F6lit0X5Rla0B5wb+vM=,EBEAL,504,Emile,0,Beal,100058,4,5046218936,842-76-9697,6/6/1979,ebeal@pth.com,228 Runamuck Pl #2808,Baltimore,MD,21224
10,41,gladmin,12/10/2020 14:43,gladmin,12/10/2020 14:43,0,0,0,c0f43cfdde23c91a94cddebfe75f71cc,0,P25099417,1,12/10/2020 0:00,12/31/9999 0:00,0,0,0,$shiro1$SHA-256$500000$U3pQ0HcxqLoxIbkTJauCRg==$grd6Ius19Rhg325BCU0cwO24F6lit0X5Rla0B5wb+vM=,P25099417,1276,Ruth,0,Cabrera,100029,4,5046218937,934-70-3054,7/19/1987,rcabrera@pth.com,2371 Jerrold Ave,Kulpsville,PA,19443
11,42,gladmin,12/10/2020 14:43,gladmin,12/10/2020 14:43,0,0,0,66a35f855599883ab1a67e416c64dcf8,0,CGALDES,1,12/10/2020 0:00,12/31/9999 0:00,0,0,0,$shiro1$SHA-256$500000$U3pQ0HcxqLoxIbkTJauCRg==$grd6Ius19Rhg325BCU0cwO24F6lit0X5Rla0B5wb+vM=,CGALDES,2133,Chad,0,Galdes,100028,4,5046218938,582-98-5177,2/14/1979,cgaldes@pth.com,37275 St  Rt 17m M,Middle Island,NY,11953
12,43,gladmin,12/10/2020 14:43,gladmin,12/10/2020 14:43,0,0,0,920e231a373a557583d010754c7eb512,0,HHSIEH,1,12/10/2020 0:00,12/31/9999 0:00,0,0,0,$shiro1$SHA-256$500000$U3pQ0HcxqLoxIbkTJauCRg==$grd6Ius19Rhg325BCU0cwO24F6lit0X5Rla0B5wb+vM=,HHSIEH,1276,Howard,0,Hsieh,100029,4,5046218939,378-99-5023,1/28/1969,hhsieh@pth.com,25 E 75th St #69,Los Angeles,CA,90034
13,44,gladmin,12/10/2020 14:43,gladmin,12/10/2020 14:43,0,0,0,51e0b31e69db2fba9638667d649b669f,0,EKLOPP,1,12/10/2020 0:00,12/31/9999 0:00,0,0,0,$shiro1$SHA-256$500000$U3pQ0HcxqLoxIbkTJauCRg==$grd6Ius19Rhg325BCU0cwO24F6lit0X5Rla0B5wb+vM=,EKLOPP,1276,Earl,0,Klopp,100029,4,5046218940,979-32-0069,10/9/1977,eklopp@pth.com,98 Connecticut Ave Nw,Chagrin Falls,OH,44023
